group_id,experiment_id,question_id,stage_2_i,s1_mean_value,consensus_value,raters_fermi_mean,raters_number_mean,features_fermi_whitelist,features_number_whitelist,features_ff_mean,features_ff_std,features_ff_min,features_ff_25%,features_ff_50%,features_ff_75%,features_ff_max,features_ff_percentile_90
580,4,1,3,216.25,114,7.833333333,1.666666667,0.234042553,0.106382979,0.110091777,0.107602271,-0.14632974,0.04419498,0.089042893,0.154436248,1.000000031,0.224304168
581,3,8,1,15.75,15,0.666666667,9.666666667,0,0.8,0.105781551,0.132185409,-0.175182507,0.040289338,0.100322117,0.167920133,0.999999996,0.243251421
581,3,7,2,177.5,175,0.166666667,10,0,0.5,0.097884179,0.105182941,-0.179449731,0.033403087,0.09553215,0.143191104,0.541827852,0.232455786
581,3,2,3,185,185,0.166666667,9.666666667,0,0.333333333,0.149096077,0.116514862,-0.023229904,0.074055948,0.112396255,0.215200894,0.541827852,0.294772015
581,3,6,4,46,50,1.166666667,9.166666667,0.166666667,0.416666667,0.150974239,0.140046468,-0.179449731,0.076566284,0.134159366,0.199521888,0.99999997,0.293045865
582,3,7,1,153.75,153,5.666666667,8,0.121212121,0.212121212,0.118615594,0.122774883,-0.08554547,0.042802242,0.101755124,0.164932179,0.81865854,0.26818297
582,3,4,2,55875,1500,3.166666667,6.5,0.175,0.175,0.096679595,0.101216793,-0.179449731,0.030705539,0.08388261,0.155660019,1.000000004,
582,3,2,3,168.75,168,3.333333333,9.166666667,0.035714286,0.214285714,0.144480452,0.125003472,-0.106395603,0.067387964,0.119656177,0.200481797,0.999999948,0.290102302
582,3,3,4,175000175,500,5.666666667,6.666666667,0.12,0.08,0.112575048,0.0922692,-0.079856833,0.052656238,0.098807252,0.162627656,0.54273852,0.214237849
587,4,3,1,93750374,600,,,0.161290323,0.129032258,0.106749006,0.10136111,-0.079856833,0.045466319,0.086752052,0.14699606,0.546998243,0.217437984
587,4,1,3,105.5,80,,,0.114285714,0.028571429,0.112176166,0.108707643,-0.169774267,0.05127099,0.09044979,0.154151298,1.000000031,0.224751203
587,4,7,4,162.5,225,,,0.139534884,0.023255814,0.115174559,0.141854363,-0.135538268,0.035680917,0.091858524,0.151824819,1.000000007,0.269709015
591,4,6,1,10,10,,,0.16,0.12,0.148079429,0.134001038,-0.179449731,0.080671892,0.131388768,0.205205325,1.000000008,0.281508358
591,4,3,2,75000213.75,450,,,0.235294118,0.294117647,0.11892869,0.114016004,-0.107249977,0.045089627,0.097663225,0.174776838,0.546998243,0.257003581
591,4,7,3,180,200,,,0.272727273,0.363636364,0.135177556,0.142893381,-0.097342043,0.05628841,0.107940302,0.16926362,0.999999976,0.319450517
